public_category,root,mid_level,leaf
Animal Rescue,Expense,Donations & Gifts,Charity & Donations
Animal Welfare,Expense,Donations & Gifts,Charity & Donations
Breast Cancer Research,Expense,Donations & Gifts,Charity & Donations
Cancer Research,Expense,Donations & Gifts,Charity & Donations
Cancer Support,Expense,Donations & Gifts,Charity & Donations
Cash Transfer Charity,Expense,Donations & Gifts,Charity & Donations
Charitable Organization,Expense,Donations & Gifts,Charity & Donations
Charity Fundraising (UK),Expense,Donations & Gifts,Charity & Donations
Charity Fundraising Platform,Expense,Donations & Gifts,Charity & Donations
Charity Rating,Expense,Donations & Gifts,Charity & Donations
Charity Verification,Expense,Donations & Gifts,Charity & Donations
Children's Charity,Expense,Donations & Gifts,Charity & Donations
Children's Hospital,Expense,Donations & Gifts,Charity & Donations
Children's Literacy,Expense,Donations & Gifts,Charity & Donations
Civil Liberties Organization,Expense,Donations & Gifts,Charity & Donations
Clean Water Nonprofit,Expense,Donations & Gifts,Charity & Donations
Creative Crowdfunding,Expense,Donations & Gifts,Charity & Donations
Creator Membership Platform,Expense,Donations & Gifts,Charity & Donations
Creator Support Platform,Expense,Donations & Gifts,Charity & Donations
Creator Tips Platform,Expense,Donations & Gifts,Charity & Donations
Crowdfunding Platform,Expense,Donations & Gifts,Charity & Donations
Digital Rights,Expense,Donations & Gifts,Charity & Donations
Education Charity,Expense,Donations & Gifts,Charity & Donations
Education Fundraising,Expense,Donations & Gifts,Charity & Donations
Education Nonprofit,Expense,Donations & Gifts,Charity & Donations
Environmental Charity,Expense,Donations & Gifts,Charity & Donations
Environmental Org,Expense,Donations & Gifts,Charity & Donations
Environmental Organization,Expense,Donations & Gifts,Charity & Donations
Family Charity,Expense,Donations & Gifts,Charity & Donations
Food Bank Network,Expense,Donations & Gifts,Charity & Donations
Free Encyclopedia,Expense,Donations & Gifts,Charity & Donations
Healthcare Nonprofit,Expense,Donations & Gifts,Charity & Donations
Housing Charity,Expense,Donations & Gifts,Charity & Donations
Humanitarian Organization,Expense,Donations & Gifts,Charity & Donations
International Charity,Expense,Donations & Gifts,Charity & Donations
Maternal/Child Health,Expense,Donations & Gifts,Charity & Donations
