merchant,public_category,root,mid_level,leaf
% Arabica,Japanese Specialty Coffee,Expense,Food & Dining,Coffee & Tea
& Other Stories,Fashion (H&M Group),Expense,Shopping,Clothing & Apparel
& Pizza,Fast Casual Pizza,Expense,Food & Dining,Fast Food
1 Hotels,Eco-Luxury Hotel,Expense,Travel,Hotels & Lodging
1-800-Contacts,Contact Lens Retailer,Expense,Health & Wellness,Health Products
100 Montaditos,Spanish Tapas Chain,Expense,Food & Dining,Restaurants
11Street,E-Commerce (Korea),Expense,Shopping,General Retail
16 Handles,Self-Serve Frozen Yogurt,Expense,Food & Dining,Ice Cream & Yogurt
1mg,Online Pharmacy (India),Expense,Health & Wellness,Pharmacy
1Password,Password Manager,Expense,Technology,Software & SaaS
24 Hour Fitness,Gym & Fitness Club,Expense,Entertainment,Sports & Recreation
2K Games,Game Publisher,Expense,Entertainment,Gaming
3D Systems,3D Printers,Expense,Shopping,Electronics
4Fingers Crispy Chicken,Fried Chicken (Asia),Expense,Food & Dining,Fast Food
4moms,Baby Tech Products,Expense,Kids & Family,Toys & Activities
5.11 Tactical,Tactical Apparel & Gear,Expense,Shopping,Clothing & Apparel
7 Brew,Drive-Through Coffee,Expense,Food & Dining,Coffee & Tea
7 For All Mankind,Premium Denim,Expense,Shopping,Clothing & Apparel
7-Eleven,Convenience Store Chain,Expense,Food & Dining,Groceries
7-Eleven Gas,Convenience Store Gas,Expense,Transportation,Gas & Fuel
85°C Bakery Cafe,Taiwanese Bakery Chain,Expense,Food & Dining,Bakery & Desserts
8seconds,Fast Fashion (Korea),Expense,Shopping,Clothing & Apparel
99,Ride-Hailing (Brazil),Expense,Transportation,Rideshare
99 Cents Only,Dollar Store,Expense,Shopping,General Retail
99 Favor Taste,Hot Pot Restaurant,Expense,Food & Dining,Restaurants
99 Ranch Market,Asian Supermarket,Expense,Food & Dining,Groceries
9Round Fitness,Kickboxing Circuit Training,Expense,Entertainment,Sports & Recreation
A Bathing Ape (BAPE),Japanese Streetwear,Expense,Shopping,Clothing & Apparel
A Twosome Place,Coffee Chain (Korea),Expense,Food & Dining,Coffee & Tea
A&W Canada,Fast Food (Canada),Expense,Food & Dining,Restaurants
A&W Restaurants,Fast Food Restaurant,Expense,Food & Dining,Fast Food
A.P.C.,French Contemporary Fashion,Expense,Shopping,Clothing & Apparel
A.T.U,Auto Parts (Germany),Expense,Transportation,Car Service & Parts
a]Hotel,Capsule Hotel (Japan),Expense,Travel,Hotels & Lodging
AAA Membership,Auto Club Membership,Expense,Food & Dining,Restaurants
AAMCO,Transmission Repair,Expense,Transportation,Car Service & Parts
Abd El Wahab,Lebanese Restaurant,Expense,Food & Dining,Restaurants
Abercrombie & Fitch,Casual Apparel,Expense,Shopping,Clothing & Apparel
Abstract,Design Version Control,Expense,Technology,Software & SaaS
AC Hotels,Lifestyle Hotel,Expense,Travel,Hotels & Lodging
Academy Sports,Sporting Goods,Expense,Shopping,Sporting Goods
