cluster_key,canonical_suggested,alias,row_count,aliases_in_cluster
apple,Apple,Apple,86,Apple (86); APPLE (13)
apple,Apple,APPLE,13,Apple (86); APPLE (13)
ubereats,Uber Eats,Uber Eats,53,Uber Eats (53); UBER EATS (2)
ubereats,Uber Eats,UBER EATS,2,Uber Eats (53); UBER EATS (2)
grubhub,Grubhub,Grubhub,47,Grubhub (47); GrubHub (3)
grubhub,Grubhub,GrubHub,3,Grubhub (47); GrubHub (3)
chipotle,Chipotle,Chipotle,35,Chipotle (35); CHIPOTLE (3)
chipotle,Chipotle,CHIPOTLE,3,Chipotle (35); CHIPOTLE (3)
mcdonalds,McDonald's,McDonald's,35,McDonald's (35); MCDONALD'S (2)
mcdonalds,McDonald's,MCDONALD'S,2,McDonald's (35); MCDONALD'S (2)
walmart,Walmart,Walmart,19,Walmart (19); WALMART (14)
walmart,Walmart,WALMART,14,Walmart (19); WALMART (14)
bestbuy,Best Buy,Best Buy,29,Best Buy (29); BESTBUY (3)
bestbuy,Best Buy,BESTBUY,3,Best Buy (29); BESTBUY (3)
homedepot,Home Depot,Home Depot,27,Home Depot (27); HOME DEPOT (5)
homedepot,Home Depot,HOME DEPOT,5,Home Depot (27); HOME DEPOT (5)
target,Target,Target,27,Target (27); TARGET (4)
target,Target,TARGET,4,Target (27); TARGET (4)
costco,Costco,Costco,23,Costco (23); COSTCO (5)
costco,Costco,COSTCO,5,Costco (23); COSTCO (5)
tacobell,Taco Bell,Taco Bell,26,Taco Bell (26); TACO BELL (2)
tacobell,Taco Bell,TACO BELL,2,Taco Bell (26); TACO BELL (2)
walgreens,Walgreens,Walgreens,27,Walgreens (27); WALGREENS (1)
walgreens,Walgreens,WALGREENS,1,Walgreens (27); WALGREENS (1)
starbucks,Starbucks,Starbucks,24,Starbucks (24); STARBUCKS (3)
starbucks,Starbucks,STARBUCKS,3,Starbucks (24); STARBUCKS (3)
google,Google,Google,23,Google (23); GOOGLE (3)
google,Google,GOOGLE,3,Google (23); GOOGLE (3)
dominos,Domino's,Domino's,21,Domino's (21); DOMINO'S (2)
dominos,Domino's,DOMINO'S,2,Domino's (21); DOMINO'S (2)
wholefoods,Whole Foods,Whole Foods,20,Whole Foods (20); WHOLE FOODS (3)
wholefoods,Whole Foods,WHOLE FOODS,3,Whole Foods (20); WHOLE FOODS (3)
uber,Uber,Uber,16,Uber (16); UBER (3)
uber,Uber,UBER,3,Uber (16); UBER (3)
lowes,Lowe's,Lowe's,15,Lowe's (15); LOWES (3)
lowes,Lowe's,LOWES,3,Lowe's (15); LOWES (3)
wendys,Wendy's,Wendy's,16,Wendy's (16); WENDY'S (1)
wendys,Wendy's,WENDY'S,1,Wendy's (16); WENDY'S (1)
etsy,Etsy,Etsy,8,Etsy (8); ETSY (8)
etsy,Etsy,ETSY,8,Etsy (8); ETSY (8)
exxonmobil,Exxon Mobil,Exxon Mobil,13,Exxon Mobil (13); EXXON MOBIL (2)
exxonmobil,Exxon Mobil,EXXON MOBIL,2,Exxon Mobil (13); EXXON MOBIL (2)
expedia,EXPEDIA,EXPEDIA,12,EXPEDIA (12); Expedia (2)
expedia,EXPEDIA,Expedia,2,EXPEDIA (12); Expedia (2)
kohls,Kohl's,Kohl's,11,Kohl's (11); KOHL'S (3)
kohls,Kohl's,KOHL'S,3,Kohl's (11); KOHL'S (3)
shoprite,SHOPRITE,SHOPRITE,7,SHOPRITE (7); ShopRite (6)
shoprite,SHOPRITE,ShopRite,6,SHOPRITE (7); ShopRite (6)
tesla,Tesla,Tesla,8,Tesla (8); TESLA (5)
tesla,Tesla,TESLA,5,Tesla (8); TESLA (5)
wegmans,Wegmans,Wegmans,10,Wegmans (10); WEGMANS (2)
wegmans,Wegmans,WEGMANS,2,Wegmans (10); WEGMANS (2)
marshalls,Marshalls,Marshalls,7,Marshalls (7); MARSHALLS (4)
marshalls,Marshalls,MARSHALLS,4,Marshalls (7); MARSHALLS (4)
dollartree,DOLLAR TREE,DOLLAR TREE,6,DOLLAR TREE (6); Dollar Tree (2); DOLLARTREE (2)
dollartree,DOLLAR TREE,Dollar Tree,2,DOLLAR TREE (6); Dollar Tree (2); DOLLARTREE (2)
dollartree,DOLLAR TREE,DOLLARTREE,2,DOLLAR TREE (6); Dollar Tree (2); DOLLARTREE (2)
stopshop,Stop & Shop,Stop & Shop,7,Stop & Shop (7); STOP & SHOP (3)
stopshop,Stop & Shop,STOP & SHOP,3,Stop & Shop (7); STOP & SHOP (3)
oldnavy,Old Navy,Old Navy,7,Old Navy (7); OLD NAVY (2)
oldnavy,Old Navy,OLD NAVY,2,Old Navy (7); OLD NAVY (2)
wawa,WAWA,WAWA,5,WAWA (5); Wawa (3)
wawa,WAWA,Wawa,3,WAWA (5); Wawa (3)
gamestop,Gamestop,Gamestop,4,Gamestop (4); GameStop (3)
gamestop,Gamestop,GameStop,3,Gamestop (4); GameStop (3)
hm,H & M,H & M,4,H & M (4); H&M (3)
hm,H & M,H&M,3,H & M (4); H&M (3)
barnesnoble,Barnes & Noble,Barnes & Noble,5,Barnes & Noble (5); BARNES & NOBLE (1)
barnesnoble,Barnes & Noble,BARNES & NOBLE,1,Barnes & Noble (5); BARNES & NOBLE (1)
bedbathbeyond,BED BATH & BEYOND,BED BATH & BEYOND,4,BED BATH & BEYOND (4); Bed Bath & Beyond (2)
bedbathbeyond,BED BATH & BEYOND,Bed Bath & Beyond,2,BED BATH & BEYOND (4); Bed Bath & Beyond (2)
fairprice,Fairprice,Fairprice,4,Fairprice (4); FairPrice (2)
fairprice,Fairprice,FairPrice,2,Fairprice (4); FairPrice (2)
papajohns,Papa John's,Papa John's,4,Papa John's (4); PAPA JOHN'S (2)
papajohns,Papa John's,PAPA JOHN'S,2,Papa John's (4); PAPA JOHN'S (2)
staples,Staples,Staples,4,Staples (4); STAPLES (2)
staples,Staples,STAPLES,2,Staples (4); STAPLES (2)
winndixie,Winn-Dixie,Winn Dixie,3,Winn Dixie (3); Winn-Dixie (3)
winndixie,Winn-Dixie,Winn-Dixie,3,Winn Dixie (3); Winn-Dixie (3)
citgo,Citgo,Citgo,4,Citgo (4); CITGO (1)
citgo,Citgo,CITGO,1,Citgo (4); CITGO (1)
michaels,Michaels,Michaels,4,Michaels (4); MICHAELS (1)
michaels,Michaels,MICHAELS,1,Michaels (4); MICHAELS (1)
speedway,Speedway,Speedway,3,Speedway (3); SPEEDWAY (2)
speedway,Speedway,SPEEDWAY,2,Speedway (3); SPEEDWAY (2)
conoco,Conoco,Conoco,3,Conoco (3); CONOCO (1)
conoco,Conoco,CONOCO,1,Conoco (3); CONOCO (1)
