alias,canonical,notes
3X4 GENETICS,3X4 GENETICS,conflict
3X4GENETICS,3X4GENETICS,
7-Eleven,7-Eleven,
937 Printshop,937 Printshop,
A DOLLAR,A DOLLAR,
A-Z DOLLAR,A-Z DOLLAR,
A101,A101,
AAINA BEAUTY PARLOR,AAINA BEAUTY PARLOR,
Abagail Furniture,Abagail Furniture,
ABBATE BAKERY,ABBATE BAKERY,
Abercrombie & Fitch,Abercrombie & Fitch,
Academy,Academy,
Ace Hardware,Ace Hardware,
Acer,Acer,
ACME,ACME,
ACME Markets,ACME Markets,
Acorn,Acorn,
ACTBLUE STACEY.ABRAMS,ACTBLUE STACEY.ABRAMS,
ACTBLUE VOTE.ORG,ACTBLUE VOTE.ORG,
Activision,Activision,
Adidas,Adidas,
ADLB,ADLB,
Adobe,Adobe,
Advance Auto Parts,Advance Auto Parts,
Aerie,Aerie,
AIR PLAY,AIR PLAY,
Airbnb,Airbnb,
Akamai,Akamai,
Alaska Airlines,Alaska Airlines,
Albert Heijn,Albert Heijn,
Albertsons,Albertsons,
ALDI,ALDI,
Ali Express,Ali Express,
ALL CITY ELECTRICAL,ALL CITY ELECTRICAL,
Allegiant Air,Allegiant Air,
ALLY,ALLY,
ALTICEMOBILE.COM,ALTICEMOBILE.COM,
Amazon,Amazon,
AMAZON DIGITAL,AMAZON DIGITAL,
AMAZON PRIME,AMAZON PRIME,
AMAZON PRIME VIDEO,AMAZON PRIME VIDEO,
AMAZON.COM,AMAZON.COM,
AMC,AMC,
AMD,AMD,
American Airlines,American Airlines,
AMERICAN DREAM MALL,AMERICAN DREAM MALL,
American Eagle,American Eagle,
ANDERSEN WINDOWS,ANDERSEN WINDOWS,
Anthropologie,Anthropologie,
APNA BAZAR,APNA BAZAR,
Apple,Apple,
APPLE,Apple,conflict
APPRAISAL FEE SERVICES,APPRAISAL FEE SERVICES,
Arby's,Arby's,
ARC STUDIO,ARC STUDIO,
ARCTIC AIR,ARCTIC AIR,
ASDA,ASDA,
Asos,Asos,
ASUS,ASUS,
AT YOUR CONVENIENCE,AT YOUR CONVENIENCE,
ATB,ATB,
Atlassian,Atlassian,
ATM Withdrawal,ATM Withdrawal,
AUBONPAIN,AUBONPAIN,
Auchan,Auchan,
Audible,Audible,
Auntie Anne's,Auntie Anne's,
AUNTIE ANNE'S,Auntie Anne's,conflict
Autodesk,Autodesk,
AutoZone,AutoZone,
Avast,Avast,
B&H PHOTO,B&H PHOTO,
BAITHAKH RESTAURANT,BAITHAKH RESTAURANT,
BAKED BY MELISSA,BAKED BY MELISSA,
Balenciaga,Balenciaga,
Banana Republic,Banana Republic,
BANK OF AMERICA,BANK OF AMERICA,
BARNABAS HEALTH,BARNABAS HEALTH,
Barnes & Noble,Barnes & Noble,
BARNES & NOBLE,Barnes & Noble,conflict
Baskin Robbins,Baskin Robbins,
Bass Pro Shops,Bass Pro Shops,
Trailblas,Bass Pro Shops,failure_alias
Bath & Body Works,Bath & Body Works,
BAYSHORE OPHTHALMOLOGY,BAYSHORE OPHTHALMOLOGY,
BEAR MOUNTAIN,BEAR MOUNTAIN,
Beats,Beats,
Bed Bath & Beyond,BED BATH & BEYOND,conflict
BED BATH & BEYOND,BED BATH & BEYOND,
BenQ,BenQ,
Best Buy,Best Buy,
BESTBUY,Best Buy,conflict
Best Western,Best Western,
BHAVANI FARMERS MARKET,BHAVANI FARMERS MARKET,
Biedronka,Biedronka,
Big Basket,Big Basket,
Bigbage,Big Basket,failure_alias
Big C,Big C,
Billa,Billa,
Bingo,Bingo,
Birchbox,Birchbox,
Birkenstock,Birkenstock,
BJ's Wholesale Club,BJ's Wholesale Club,
BNL SCHOOL PICTURES,BNL SCHOOL PICTURES,
Bob's Hobbies,Bob's Hobbies,
Bojangles,Bojangles,
Bolt,Bolt,
Booking.com,Booking.com,
Books-A-Million,Books-A-Million,
Boots,Boots,
Borg Warner,Borg Warner,
Bose,Bose,
Boulangerie Baguette Magique,Boulangerie Baguette Magique,
Boulangerie Fougasse,Boulangerie Fougasse,
Boulangerie Le Petit Pain,Boulangerie Le Petit Pain,
Boulangerie Pain au Chocolat,Boulangerie Pain au Chocolat,
Boulangerie Pain aux Cereales,Boulangerie Pain aux Cereales,
Boulangerie Pain aux Figues,Boulangerie Pain aux Figues,
Boulangerie Pain aux Graines,Boulangerie Pain aux Graines,
Boulangerie Pain aux Noix,Boulangerie Pain aux Noix,
Boulangerie Pain aux Olives,Boulangerie Pain aux Olives,
Boulangerie Pain aux Raisins,Boulangerie Pain aux Raisins,
Boulangerie Pain de Campagne,Boulangerie Pain de Campagne,
Boulangerie Pain de Seigle,Boulangerie Pain de Seigle,
Boulangerie Patisserie Artisanale,Boulangerie Patisserie Artisanale,
BP,BP,
