merchant,root,mid_level,leaf
3X4 GENETICS,Expense,Health & Wellness,Health Products
3X4GENETICS,Expense,Health & Wellness,Health Products
7-Eleven,Expense,Food & Dining,Groceries
937 Printshop,Expense,Personal Services,Printing & Shipping
A DOLLAR,Expense,Shopping,General Retail
A-Z DOLLAR,Expense,Shopping,General Retail
A101,Expense,Food & Dining,Groceries
AAINA BEAUTY PARLOR,Expense,Health & Wellness,Beauty & Spa
ABBATE BAKERY,Expense,Food & Dining,Bakery & Desserts
ACME,Expense,Food & Dining,Groceries
ACME Markets,Expense,Food & Dining,Groceries
ACTBLUE STACEY.ABRAMS,Expense,Donations & Gifts,Charity & Donations
ACTBLUE VOTE.ORG,Expense,Donations & Gifts,Charity & Donations
ADLB,Income,Transfers,Deposit
AIR PLAY,Expense,Entertainment,Amusement & Parks
ALDI,Expense,Food & Dining,Groceries
ALL CITY ELECTRICAL,Expense,Housing & Utilities,Home Services
ALLY,Expense,Financial Services,Banking Fees
ALTICEMOBILE.COM,Expense,Housing & Utilities,Telecom & Internet
AMAZON DIGITAL,Expense,Shopping,General Retail
AMAZON PRIME,Expense,Subscriptions,Media & Lifestyle
AMAZON PRIME VIDEO,Expense,Entertainment,Streaming Video
AMAZON.COM,Expense,Shopping,General Retail
AMC,Expense,Entertainment,Movies & Events
AMD,Expense,Shopping,Electronics
AMERICAN DREAM MALL,Expense,Shopping,General Retail
ANDERSEN WINDOWS,Expense,Shopping,Home & Garden
APNA BAZAR,Expense,Food & Dining,Groceries
APPLE,Expense,Shopping,Electronics
APPRAISAL FEE SERVICES,Expense,Financial Services,Lending & Loans
ARC STUDIO,Expense,Entertainment,Arts & Hobbies
ARCTIC AIR,Expense,Shopping,Home & Garden
ASDA,Expense,Food & Dining,Groceries
ASUS,Expense,Shopping,Electronics
AT YOUR CONVENIENCE,Expense,Food & Dining,Groceries
ATB,Expense,Financial Services,Banking Fees
ATM Withdrawal,Income,Transfers,Bank Transfer
AUBONPAIN,Expense,Food & Dining,Restaurants
AUNTIE ANNE'S,Expense,Food & Dining,Bakery & Desserts
Abagail Furniture,Expense,Shopping,Home & Garden
Abercrombie & Fitch,Expense,Shopping,Clothing & Apparel
Academy,Expense,Shopping,Sporting Goods
Ace Hardware,Expense,Shopping,Home & Garden
Acer,Expense,Shopping,Electronics
Acorn,Expense,Technology,Cloud & Security
Activision,Expense,Entertainment,Gaming
Adidas,Expense,Shopping,Clothing & Apparel
Adobe,Expense,Technology,Software & SaaS
Advance Auto Parts,Expense,Transportation,Car Service & Parts
Aerie,Expense,Shopping,Clothing & Apparel
Airbnb,Expense,Travel,Hotels & Lodging
Akamai,Expense,Technology,Software & SaaS
Alaska Airlines,Expense,Travel,Airlines
Albert Heijn,Expense,Food & Dining,Groceries
Albertsons,Expense,Food & Dining,Groceries
Ali Express,Expense,Shopping,General Retail
Allegiant Air,Expense,Travel,Airlines
Amazon,Expense,Shopping,General Retail
American Airlines,Expense,Travel,Airlines
American Eagle,Expense,Shopping,Clothing & Apparel
Anthropologie,Expense,Shopping,Clothing & Apparel
Apple,Expense,Shopping,Electronics
Arby's,Expense,Food & Dining,Fast Food
Asos,Expense,Shopping,Clothing & Apparel
Atlassian,Expense,Technology,Software & SaaS
Auchan,Expense,Food & Dining,Groceries
Audible,Expense,Shopping,Books & Media
Auntie Anne's,Expense,Food & Dining,Bakery & Desserts
AutoZone,Expense,Transportation,Car Service & Parts
Autodesk,Expense,Technology,Software & SaaS
Avast,Expense,Technology,VPN & Privacy
B&H PHOTO,Expense,Shopping,Electronics
BAITHAKH RESTAURANT,Expense,Food & Dining,Restaurants
BAKED BY MELISSA,Expense,Food & Dining,Bakery & Desserts
BANK OF AMERICA,Expense,Financial Services,Banking Fees
BARNABAS HEALTH,Expense,Health & Wellness,Medical & Dental
BARNES & NOBLE,Expense,Shopping,Books & Media
BAYSHORE OPHTHALMOLOGY,Expense,Health & Wellness,Medical & Dental
BEAR MOUNTAIN,Expense,Entertainment,Amusement & Parks
BED BATH & BEYOND,Expense,Shopping,Home & Garden
BESTBUY,Expense,Shopping,Electronics
BHAVANI FARMERS MARKET,Expense,Food & Dining,Groceries
BJ's Wholesale Club,Expense,Food & Dining,Groceries
BNL SCHOOL PICTURES,Expense,Education,Tuition & School
BP,Expense,Transportation,Gas & Fuel
BRILLIANT.ORG,Expense,Education,Online Learning
BURLINGTON STORES,Expense,Shopping,Clothing & Apparel
Balenciaga,Expense,Shopping,Clothing & Apparel
Banana Republic,Expense,Shopping,Clothing & Apparel
Barnes & Noble,Expense,Shopping,Books & Media
Baskin Robbins,Expense,Food & Dining,Ice Cream & Yogurt
Bass Pro Shops,Expense,Shopping,Sporting Goods
Bath & Body Works,Expense,Health & Wellness,Beauty & Spa
Beats,Expense,Shopping,Electronics
Bed Bath & Beyond,Expense,Shopping,Home & Garden
BenQ,Expense,Shopping,Electronics
Best Buy,Expense,Shopping,Electronics
Best Western,Expense,Travel,Hotels & Lodging
Biedronka,Expense,Food & Dining,Groceries
Big Basket,Expense,Food & Dining,Groceries
Big C,Expense,Food & Dining,Groceries
Billa,Expense,Food & Dining,Groceries
Bingo,Expense,Entertainment,Movies & Events
Birchbox,Expense,Subscriptions,Media & Lifestyle
Birkenstock,Expense,Shopping,Clothing & Apparel
Bob's Hobbies,Expense,Kids & Family,Toys & Activities
Bojangles,Expense,Food & Dining,Fast Food
Bolt,Expense,Transportation,Rideshare
Booking.com,Expense,Travel,Travel Booking
Books-A-Million,Expense,Shopping,Books & Media
Boots,Expense,Health & Wellness,Pharmacy
Borg Warner,Expense,Technology,Hardware
Bose,Expense,Shopping,Electronics
Boulangerie Baguette Magique,Expense,Food & Dining,Bakery & Desserts
Boulangerie Fougasse,Expense,Food & Dining,Bakery & Desserts
Boulangerie Le Petit Pain,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain au Chocolat,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain aux Cereales,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain aux Figues,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain aux Graines,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain aux Noix,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain aux Olives,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain aux Raisins,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain de Campagne,Expense,Food & Dining,Bakery & Desserts
Boulangerie Pain de Seigle,Expense,Food & Dining,Bakery & Desserts
Boulangerie Patisserie Artisanale,Expense,Food & Dining,Bakery & Desserts
Bratwurst Haus,Expense,Food & Dining,Restaurants
Bravo,Expense,Food & Dining,Groceries
BritBox,Expense,Entertainment,Streaming Video
Broadway,Expense,Entertainment,Movies & Events
Bulgari,Expense,Shopping,Clothing & Apparel
Burger Bliss,Expense,Food & Dining,Fast Food
Burger King,Expense,Food & Dining,Fast Food
CARDMART,Expense,Donations & Gifts,Gifts & Cards
CELINES SPA,Expense,Health & Wellness,Beauty & Spa
CHAMPION,Expense,Shopping,Clothing & Apparel
CHANGE.ORG,Expense,Donations & Gifts,Charity & Donations
CHARRITOS,Expense,Food & Dining,Restaurants
CHEESECAKE FACTORY,Expense,Food & Dining,Restaurants
CHILDREN'S MUSEUM,Expense,Entertainment,Amusement & Parks
CHIPOTLE,Expense,Food & Dining,Fast Food
CINEMARK,Expense,Entertainment,Movies & Events
CINNABON-CARVEL,Expense,Food & Dining,Bakery & Desserts
CIRCLE CHEVROLET,Expense,Transportation,Car Service & Parts
CITGO,Expense,Transportation,Gas & Fuel
CLAIRE'S,Expense,Shopping,General Retail
CMS,Income,Transfers,Deposit
CODE NINJAS,Expense,Education,Tuition & School
COLD STONE,Expense,Food & Dining,Ice Cream & Yogurt
COMFORT INNS,Expense,Travel,Hotels & Lodging
CONAD,Expense,Food & Dining,Groceries
CONDOCERTS,Expense,Entertainment,Movies & Events
CONOCO,Expense,Transportation,Gas & Fuel
COSTCO,Expense,Food & Dining,Groceries
COSTCO GAS,Expense,Transportation,Gas & Fuel
COURTYARD BY MARRIOT,Expense,Travel,Hotels & Lodging
CRAYOLA EXPERIENCE,Expense,Entertainment,Amusement & Parks
CRI GENETICS,Expense,Health & Wellness,Health Products
CRYSTAL SPRINGS,Expense,Shopping,Home & Garden
CTM GROUP INC.,Income,Transfers,Deposit
CVS,Expense,Health & Wellness,Pharmacy
Cabify,Expense,Transportation,Rideshare
Canada Goose,Expense,Shopping,Clothing & Apparel
Canon,Expense,Shopping,Electronics
Canva,Expense,Technology,Software & SaaS
Careem,Expense,Transportation,Rideshare
Carl's Jr.,Expense,Food & Dining,Fast Food
Carrefour,Expense,Food & Dining,Groceries
Cartier,Expense,Shopping,Clothing & Apparel
Casey's General Store,Expense,Food & Dining,Groceries
Caviar,Expense,Food & Dining,Food Delivery
Chedraui,Expense,Food & Dining,Groceries
Chegg,Expense,Education,Online Learning
Chevron,Expense,Transportation,Gas & Fuel
Chewy,Expense,Shopping,Pet Supplies
Chick-fil-A,Expense,Food & Dining,Fast Food
Chipotle,Expense,Food & Dining,Fast Food
Cinemax,Expense,Entertainment,Streaming Video
Cinnabon,Expense,Food & Dining,Bakery & Desserts
Circle K,Expense,Food & Dining,Groceries
Cisco,Expense,Technology,Software & SaaS
Citgo,Expense,Transportation,Gas & Fuel
Clearbanks,Expense,Financial Services,Banking Fees
Coach,Expense,Shopping,Clothing & Apparel
Coffee Haven,Expense,Food & Dining,Coffee & Tea
Cold Stone Creamery,Expense,Food & Dining,Ice Cream & Yogurt
Cold Storage,Expense,Food & Dining,Groceries
Coles,Expense,Food & Dining,Groceries
Comcast,Expense,Housing & Utilities,Utilities
Conoco,Expense,Transportation,Gas & Fuel
Coop,Expense,Food & Dining,Groceries
Corner Bakery Cafe,Expense,Food & Dining,Restaurants
Costco,Expense,Shopping,General Retail
Coto,Expense,Food & Dining,Groceries
Countdown,Expense,Food & Dining,Groceries
Cracker Barrel,Expense,Food & Dining,Restaurants
Criterion Channel,Expense,Entertainment,Streaming Video
Crocs,Expense,Shopping,Clothing & Apparel
Crunchyroll,Expense,Entertainment,Streaming Video
Culver's,Expense,Food & Dining,Fast Food
Culvers,Expense,Food & Dining,Fast Food
Cumberland Farms,Expense,Food & Dining,Groceries
Curiosity Stream,Expense,Entertainment,Streaming Video
Currywurst Corner,Expense,Food & Dining,Restaurants
CyberGhost,Expense,Technology,VPN & Privacy
CyberGhost VPN,Expense,Technology,VPN & Privacy
D'BELLA SALON,Expense,Health & Wellness,Beauty & Spa
DAVIDsTEA,Expense,Food & Dining,Coffee & Tea
DCH ACADEMY HONDA,Expense,Transportation,Car Service & Parts
DICK'S CLOTHING & SPORT,Expense,Shopping,Sporting Goods
DIOCESE OF TRENTON,Expense,Education,Tuition & School
DISNEY PLUS,Expense,Entertainment,Streaming Video
DIVINE TOUCH CLEANERS,Expense,Housing & Utilities,Home Services
DJI,Expense,Shopping,Electronics
DOLLAR GENERAL,Expense,Shopping,General Retail
DOLLAR TREE,Expense,Shopping,General Retail
DOLLARS N THINGS,Expense,Shopping,General Retail
DOLLARTREE,Expense,Shopping,General Retail
DOMINO'S,Expense,Food & Dining,Fast Food
DOORDASH CROWN FRIED CHICKEN,Expense,Food & Dining,Food Delivery
