description,merchant
**ID012345|12/31|**2345|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN REF1,Big Basket
**ID012345|12/31|**2345|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN REF2,Big Basket
**ID012345|12/31|**2345|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN REF3,Big Basket
**ID159753|02/01|**9753|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR,E-Mart
**ID159753|04/22|**9753|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON,RTIC Outdoors
**ID159753|07/27|**9753|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS,Balenciaga
**ID159753|08/20|**9753|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID159753|11/29|**9753|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM,Spotify
**ID159753|11/29|**9753|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM REF1,Spotify
**ID159753|11/29|**9753|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM REF2,Spotify
**ID159753|11/29|**9753|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM REF3,Spotify
**ID159753|12/31|**9753|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN,Big Basket
**ID159864|02/01|**9770|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR,E-Mart
**ID159864|04/22|**9770|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON,RTIC Outdoors
**ID159864|07/27|**9770|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS,Balenciaga
**ID159864|08/20|**9770|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID159864|11/29|**9770|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM,Spotify
**ID159864|12/31|**9770|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN,Big Basket
**ID159975|02/01|**9787|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR,E-Mart
**ID159975|04/22|**9787|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON,RTIC Outdoors
**ID159975|07/27|**9787|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS,Balenciaga
**ID159975|08/20|**9787|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID159975|11/29|**9787|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM,Spotify
**ID159975|12/31|**9787|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN,Big Basket
**ID182900|07/27|**2900|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS REF1,Balenciaga
**ID182900|07/27|**2900|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS REF2,Balenciaga
**ID182900|07/27|**2900|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS REF3,Balenciaga
**ID678901|01/20|**3456|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID678901|02/01|**8901|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR REF1,E-Mart
**ID678901|02/01|**8901|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR REF2,E-Mart
**ID678901|02/01|**8901|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR REF3,E-Mart
**ID678901|02/20|**3456|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID678901|03/20|**3456|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID781234|01/25|**1234|USD18.75|TKFS|DERV|EATS|HKGCN REF1,Takeaways
**ID781234|01/25|**1234|USD18.75|TKFS|DERV|EATS|HKGCN REF2,Takeaways
**ID781234|01/25|**1234|USD18.75|TKFS|DERV|EATS|HKGCN REF3,Takeaways
**ID789267|04/22|**9267|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON REF1,RTIC Outdoors
**ID789267|04/22|**9267|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON REF2,RTIC Outdoors
**ID789267|04/22|**9267|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON REF3,RTIC Outdoors
*SQ PINKBERRY ISTANBUL 01/20 PURCHASE ISTANBUL TR,Pinkberry
*SQ PINKBERRY ISTANBUL 02/20 PURCHASE ISTANBUL TR,Pinkberry
*SQ PINKBERRY ISTANBUL 03/20 PURCHASE ISTANBUL TR,Pinkberry
ACE_HD147 04/23 #XXXXX1081 PURCHASE POWER_TOOLS OAK BROOK IL,Ace Hardware
ACE_HD369 04/23 #XXXXX1081 PURCHASE POWER_TOOLS OAK BROOK IL,Ace Hardware
ACE_HD654 04/23 #XXXXX1081 PURCHASE POWER_TOOLS OAK BROOK IL,Ace Hardware
ACE_HD741 04/23 #XXXXX1081 PURCHASE POWER_TOOLS OAK BROOK IL,Ace Hardware
ACE_HD963 04/23 #XXXXX1081 PURCHASE POWER_TOOLS OAK BROOK IL,Ace Hardware
BJS WHOLSL #147 10/08 #XXXXX134027 PURCHASE BJS WHOLSL #147 DENVER NY,BJ's Wholesale Club
BJS WHOLSL #369 10/08 #XXXXX134027 PURCHASE BJS WHOLSL #369 AUSTIN NY,BJ's Wholesale Club
BJS WHOLSL #3847 10/08 #XXXXX134027 PURCHASE BJS WHOLSL #3847 NEW YORK NY REF1,BJ's Wholesale Club
BJS WHOLSL #3847 10/08 #XXXXX134027 PURCHASE BJS WHOLSL #3847 NEW YORK NY REF2,BJ's Wholesale Club
BJS WHOLSL #3847 10/08 #XXXXX134027 PURCHASE BJS WHOLSL #3847 NEW YORK NY REF3,BJ's Wholesale Club
BJS WHOLSL #654 10/08 #XXXXX134027 PURCHASE BJS WHOLSL #654 PHOENIX NY,BJ's Wholesale Club
BJS WHOLSL #741 10/08 #XXXXX134027 PURCHASE BJS WHOLSL #741 SEATTLE NY,BJ's Wholesale Club
BJS WHOLSL #963 10/08 #XXXXX134027 PURCHASE BJS WHOLSL #963 BOSTON NY,BJ's Wholesale Club
BOB_HOBBIES834 04/17 #XXXXX4832 PURCHASE HOBBY_STORE CHARLOTTE NC REF1,Bob's Hobbies
BOB_HOBBIES834 04/17 #XXXXX4832 PURCHASE HOBBY_STORE CHARLOTTE NC REF2,Bob's Hobbies
BOB_HOBBIES834 04/17 #XXXXX4832 PURCHASE HOBBY_STORE CHARLOTTE NC REF3,Bob's Hobbies
BOJANGLES 01/29 #XXXXX8901 PURCHASE FOOD CHARLOTTE NC REF1,Bojangles
BOJANGLES 01/29 #XXXXX8901 PURCHASE FOOD CHARLOTTE NC REF2,Bojangles
BOJANGLES 01/29 #XXXXX8901 PURCHASE FOOD CHARLOTTE NC REF3,Bojangles
BOJANGLES 08/15 #XXXXX8901 PURCHASE FOOD AUSTIN NC,Bojangles
BOJANGLES 08/15 #XXXXX8901 PURCHASE FOOD BOSTON NC,Bojangles
BOJANGLES 08/15 #XXXXX8901 PURCHASE FOOD DENVER NC,Bojangles
